PDB_ID_1,PDB_ID_2,NSWS,D2,TM_score1,TM_score2
1CDG,1CGT,0.7866154690071311,6.0,0.99007,0.99295
1CDG,2AAA,0.1308027699410105,22.0,0.61963,0.87932
1CDG,2EXO,0.020677255019478574,7.0,0.32479,0.63632
1AMY,1CDG,0.0500201694231545,8.0,0.8025,0.4909
1CDG,1CYG,0.6856271112564019,7.0,0.9814,0.99
1CDG,1PPI,0.05285908361121403,6.0,0.54621,0.73287
1CDG,1XAS,0.01756511205330103,5.0,0.31054,0.63652
1CDG,1XYS,0.021620063418852694,5.0,0.29643,0.52059
1CDG,1CIU,0.7322679509632224,9.0,0.98715,0.99146
1CDG,2AMG,0.06079747335175681,8.0,0.50209,0.79565
1CDG,5ABP,0.017591750075826508,13.0,0.17474,0.31968
1CDG,1PEA,0.011942785724204971,7.0,0.19823,0.31927
1CDG,3GBP,0.021619975639464068,17.0,0.17903,0.32105
1CDG,1DBP,0.018459579885423297,9.0,0.18351,0.36335
1CDG,2LIV,0.014053579270970576,6.0,0.19808,0.33226
1CDG,2LBP,0.015142690739662202,9.0,0.19939,0.33444
1ADG,1CDG,0.01611079706048615,6.0,0.30305,0.1949
1CDG,3ADK,0.013390557939914163,6.0,0.17207,0.4671
1CDG,1UKY,0.015582655826558265,9.0,0.17287,0.46343
1AK2,1CDG,0.013091147111765669,9.0,0.4426,0.17329
1AKY,1CDG,0.015904572564612324,8.0,0.44048,0.17476
1CDG,2RAN,0.0155203895313451,19.0,0.18762,0.33529
1AII,1CDG,0.015601560156015602,5.0,0.31807,0.17806
1ALA,1CDG,0.0190447400241838,5.0,0.31557,0.17635
1AIN,1CDG,0.014285714285714285,15.0,0.31623,0.17438
1ANN,1CDG,0.01782477341389728,18.0,0.32179,0.17647
1CDG,2PLT,0.017980107115531753,10.0,0.09973,0.47604
1CDG,3PCY,0.014911106862932517,17.0,0.10066,0.46493
1CDG,7PCY,0.023722976850966138,10.0,0.10236,0.47733
1AAJ,1CDG,0.020064357372704903,7.0,0.3851,0.09533
1CDG,1PAZ,0.019717261904761904,17.0,0.10764,0.43418
1CDG,1PMY,0.01629026286560533,9.0,0.0974,0.38972
